"LAVADO","monto_transferencia","frecuencia_mensual","antiguedad_cliente","paises_destino","indice_riesgo_cliente","volumen_total_mes","canal_transaccion","tipo_cliente","jurisdiccion_riesgo","pep","alerta_manual","perfil_operacional"
"No_sospechoso",5071.19849354475,14,5,1,69.3102769328465,10184.3969870895,"Online","Empresa","Bja","No","No","Normal"
"No_sospechoso",2360.06897520336,15,7,5,53.9753268865294,4765.13795040672,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",3816.92233940668,13,10,3,70.270643400302,7672.84467881335,"Sucursal","Persona","Baja","No","No","Volatil"
"No sospechoso",5171.70867235809,16,8,4,NA,10391.4173447162,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",8098.56694452128,16,5,3,70.5901862057997,16245.1338890426,"Online","Persona","Bja","No","No","Atipico"
"No_sospechoso",7404.47569072709,18,10,1,56.0083963357017,14862.9513814542,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",6180.34705986791,17,9,2,48.8099465026035,12411.6941197358,NA,"Persona","Baja","No","No","Normal"
"No_sospechoso",3022.61955919602,13,10,1,64.1092356948799,6084.23911839204,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",6655.67366449657,17,5,2,78.8898686968156,13362.3473289931,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",2259.52965774781,13,5,0,66.7974369047265,4558.05931549562,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",2219.03723398724,15,12,0,67.0376716830758,4483.07446797448,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",1842.81737383535,14,7,3,57.9484440379607,3727.6347476707,"Sucursal","Persona","Baja","No","No","Volatil"
"No_sospechoso",3717.87217664276,16,9,3,54.9019360282138,7483.74435328551,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",5085.40894523249,16,5,4,55.7783497374913,10218.817890465,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",6691.9803241595,16,10,2,62.720072813923,13431.960648319,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",6436.1536889611,15,6,2,76.5935825732793,12917.3073779222,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",3992.37664603028,16,5,0,85.0880037926134,8032.75329206057,"Sucursal","Empresa","Baja","No","No","Normal"
"No_sospechoso",3051.75701405651,17,5,6,58.590131359535,6154.51402811302,"Online","Empresa","Bja","No","No","Normal"
"No_sospechoso",3676.21820382146,16,4,1,65.5947468367589,7400.43640764292,"Sucursal","Empresa","Bja","No","No","Normal"
"No_sospechoso",4936.21281891185,16,9,0,66.1312607589455,9920.4256378237,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",6725.4557040681,19,8,6,62.6245852446516,13507.9114081362,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",2537.22190229196,17,8,5,58.6777990193402,5125.44380458392,"Sucursal","Empresa","Bja","No","No","Normal"
"No_sospechoso",1951.84109572938,16,7,2,68.4852958411074,3951.68219145875,"Online","Persona","Bja","No","No","Atipico"
"No_sospechoso",1244.13442918012,13,11,4,75.1016102860621,2527.26885836023,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",1771.04276363787,13,6,3,75.7021183143591,3581.08552727575,"Online","Persona","Bja","No","No","Volatil"
"No_sospechoso",2448.88842877832,18,11,0,43.1657254210505,4951.77685755664,"Online","Persona","Bja","No","No","Volatil"
"No_sospechoso",2671.83924463544,13,9,2,26.1211055891128,5382.67848927087,"Online","Empresa","Baja","No","No","Normal"
"No_sospechoso",4174.45080653696,17,9,0,59.7123531384353,8399.90161307393,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",2303.93104998317,19,7,4,56.4712900039793,4664.86209996635,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",3114.65683659695,14,7,0,47.919784710554,6271.3136731939,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",2065.49086008086,17,7,0,36.7999143871737,4181.98172016171,"Internacional","Persona","Baja","No","No","Normal"
"No_sospechoso",1972.95766468179,14,7,6,39.7520739733683,3987.91532936358,"Online","Persona","Bja","No","No","Volatil"
"No_sospechoso",3029.91255639307,14,7,2,52.0893584741874,6101.82511278614,"Online","Persona","Baja","No","No","Atipico"
"No_sospechoso",1697.31805143827,14,5,0,63.2603463917257,3436.63610287654,"Internacional","Persona","Bja","No","No","Normal"
"No_sospechoso",2451.93485775733,15,9,2,60.8883073697415,4948.86971551467,NA,"Persona","Baja","No","No","Normal"
"No_sospechoso",13857.7829150023,16,6,3,63.1361362401828,27763.5658300046,"Sucursal","Empresa","Baja","No","No","Atipico"
"No_sospechoso",4032.1640929422,14,5,2,68.0910590871915,8106.32818588439,"Online","Persona","Baja","No","No","Atipico"
"No_sospechoso",2589.65434744795,16,8,1,76.0852053860464,5227.30869489589,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",3538.73914432041,16,6,0,60.9167028006511,7125.47828864082,"Online","Empresa","Baja","No","No","Normal"
"No_sospechoso",5329.15536041325,16,13,0,72.955764654143,10706.3107208265,"Sucursal","Persona","Bja","No","No","Volatil"
"No_sospechoso",4305.08672675882,17,11,4,72.9660659628486,8661.17345351764,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",3243.90817489804,14,7,0,75.1604963677676,6529.81634979608,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",1658.70842643535,15,8,2,56.3420420501104,3362.4168528707,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",3114.69269608513,19,6,1,58.9968302201618,6286.38539217026,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",6853.12022268799,12,9,3,50.3281739928238,13742.240445376,"Online","Empresa","Baja","No","No","Normal"
"No_sospechoso",3851.82448944548,14,6,2,68.2025253790588,7745.64897889096,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",4498.38949261107,17,5,0,75.7004032029903,9047.77898522214,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",3781.5722712763,16,9,1,70.7058855888905,7611.1445425526,"Online","Persona","Bja","No","No","Atipico"
"No_sospechoso",5053.82879745186,16,6,2,59.7337270077717,10155.6575949037,NA,"Offshore","Baja","No","No","Normal"
"No sospechoso",10120.6411970582,14,7,1,NA,20283.2823941164,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",4881.09352131325,15,8,1,36.3818922717357,9807.1870426265,"Online","Offshore","Baja","No","No","Atipico"
"No_sospechoso",1608.05657316705,15,3,2,50.3429336478614,3261.1131463341,"Online","Persona","Bja","No","No","Atipico"
"No_sospechoso",4372.69670515552,16,6,1,61.0977874858717,8793.39341031103,"Sucursal","Empresa","Bja","No","No","Normal"
"No_sospechoso",2909.09502952475,15,6,2,49.9563034912379,5863.19005904951,"Sucursal","Empresa","Bja","No","No","Volatil"
"No_sospechoso",3858.97643632834,16,7,7,67.776050182325,7765.95287265668,"Online","Empresa","Baja","No","No","Volatil"
"No_sospechoso",2559.19807512285,15,10,1,58.8783796988621,5163.3961502457,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",7242.54951882526,18,5,1,58.1388895016345,14539.0990376505,"Online","Persona","Bja","No","No","Volatil"
"No_sospechoso",3621.88818877084,19,8,2,64.0078145850608,7300.77637754168,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",4844.70747983721,15,7,1,41.4080117959612,9734.41495967441,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",2858.86295484373,14,6,1,73.9372225925135,5759.72590968745,NA,"Empresa","Bja","No","No","Normal"
"No_sospechoso",14068.1149482839,19,5,2,58.28840567148,28193.2298965678,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",3374.11702365772,15,8,2,45.3942198250739,6793.23404731543,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",4657.9208322525,15,6,1,50.0112766133045,9360.84166450501,"Sucursal","Empresa","Baja","No","No","Atipico"
"No_sospechoso",3035.76950657845,14,5,2,63.319300374042,6113.5390131569,"Online","Persona","Alta","No","No","Normal"
"No_sospechoso",2754.28038158971,15,3,1,71.8071778076563,5553.56076317942,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",3753.60696551011,15,6,1,47.1144484452838,7552.21393102022,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",7230.9045333635,14,9,2,64.0096060484657,14503.809066727,"Internacional","Persona","Bja","No","No","Normal"
"No_sospechoso",8590.63936513117,19,6,1,54.0427510104089,17238.2787302623,"Internacional","Persona","Bja","No","No","Normal"
"No_sospechoso",3315.64532137318,14,7,3,59.5618783856068,6673.29064274636,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",3684.98656845731,16,6,1,49.2458732976513,7417.97313691462,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",6883.17545657831,16,8,1,53.6487062168221,13814.3509131566,NA,"Persona","Baja","No","No","Normal"
"No_sospechoso",8467.31569321956,16,11,0,60.3610555674822,16982.6313864391,"Online","Offshore","Bja","No","No","Atipico"
"No_sospechoso",2951.09391681079,14,5,3,51.769206252052,5944.18783362159,"Online","Persona","Baja","No","No","Atipico"
"No_sospechoso",3335.69716144156,13,10,3,52.0109763952559,6710.39432288312,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",6965.74171649736,18,6,4,49.1063388239932,13985.4834329947,"Online","Persona","Baja","No","No","Volatil"
"No_sospechoso",4475.87226377756,17,5,1,71.5903400716684,9002.74452755512,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",2230.16523695219,17,8,3,42.5468602923511,4511.33047390439,"Sucursal","Persona","Bja","No","No","Atipico"
"No_sospechoso",5602.16062215758,16,5,0,NA,11252.3212443152,"Sucursal","Persona","Bja","No","No","Volatil"
"No_sospechoso",792.413434924862,12,8,2,56.4165070650539,1620.82686984972,"Online","Empresa","Baja","No","No","Normal"
"No_sospechoso",6037.9943125996,15,5,1,44.7147729118885,12120.9886251992,"Sucursal","Persona","Bja","No","No","Volatil"
"No_sospechoso",4749.96109632782,16,9,3,55.2395747387858,9547.92219265565,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",4852.95856817573,12,7,1,63.0969073305647,9741.91713635146,"Sucursal","Persona","Alta","No","No","Atipico"
"No_sospechoso",5123.09058098513,14,9,3,75.6996094505917,10288.1811619703,"Sucursal","Empresa","Bja","No","No","Normal"
"No_sospechoso",3000.04894601228,15,6,3,42.8635312864637,6045.09789202455,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",3481.25486476747,14,7,3,60.4165573539068,7004.50972953493,"Sucursal","Persona","Bja","No","No","Atipico"
"No_sospechoso",2227.55148711137,14,7,2,38.8650839978385,4497.10297422275,"Sucursal","Persona","Alta","No","No","Atipico"
"No_sospechoso",1713.62860179018,15,6,6,46.4040705507994,3472.25720358036,"Sucursal","Persona","Bja","No","No","Volatil"
"No_sospechoso",5131.19424020361,14,6,1,73.0379512089862,10304.3884804072,"Internacional","Persona","Baja","No","No","Normal"
"No_sospechoso",2035.0732699566,14,7,4,61.291422449709,4112.1465399132,"Online","Empresa","Bja","No","No","Volatil"
"No_sospechoso",7633.99137052155,18,11,0,60.9777912828905,15321.9827410431,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",7064.34087803805,16,6,4,67.9591995148726,14176.6817560761,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",3148.73855477427,18,11,4,62.9536819078348,6351.47710954854,"Sucursal","Empresa","Baja","No","No","Volatil"
"No_sospechoso",4000.8621100984,16,6,6,62.5843426490617,8049.72422019681,NA,"Persona","Bja","No","No","Atipico"
"No_sospechoso",8300.47701141971,20,9,3,52.8155250162689,16660.9540228394,"Sucursal","Persona","Bja","No","No","Volatil"
"No_sospechoso",3847.97844806857,15,10,3,69.3576089333593,7740.95689613713,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",5133.41066301297,14,6,1,52.0828810935539,10308.8213260259,"Online","Persona","Baja","No","No","Volatil"
"No_sospechoso",5403.59022133227,16,5,1,64.6145631076847,10855.1804426645,"Online","Persona","Baja","No","No","Atipico"
"No_sospechoso",7758.83659246198,16,10,0,76.3485466716981,15565.673184924,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",3051.92309137251,16,8,0,66.862942751233,6151.84618274501,"Internacional","Persona","Baja","No","No","Normal"
"No_sospechoso",3859.09953726094,16,12,3,58.5582329869137,7766.19907452189,"Sucursal","Persona","Bja","No","No","Atipico"
"No_sospechoso",2782.77753441199,14,9,1,46.5084304813347,5607.55506882398,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",1699.43401794502,15,7,4,49.9805298075533,3443.86803589004,"Online","Persona","Bja","No","No","Atipico"
"No_sospechoso",1077.22095547894,12,7,3,58.2651342135424,2190.44191095787,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",2388.35036613611,14,14,1,49.1570197943663,4818.70073227221,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",3762.90501026699,18,8,0,71.749802352018,7579.81002053398,"Sucursal","Persona","Bja","No","No","Atipico"
"No_sospechoso",2497.33991155553,15,8,3,87.0924100509914,5039.67982311106,"Online","Offshore","Baja","No","No","Normal"
"No_sospechoso",3565.69284292148,15,10,0,70.7733226854158,7176.38568584296,NA,"Persona","Baja","No","No","Volatil"
"No_sospechoso",3995.86823428694,17,7,2,62.6118195722355,8042.73646857388,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",6476.57902491187,20,9,0,52.7935883445076,13013.1580498237,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",1336.68267982453,15,5,4,27.8974470972799,2718.36535964905,"Sucursal","Offshore","Baja","No","No","Atipico"
"No_sospechoso",12018.0374861961,16,6,1,49.4754702772484,24084.0749723923,"Internacional","Persona","Bja","No","No","Volatil"
"No_sospechoso",3880.85328020699,17,9,2,46.1502384758691,7812.70656041397,"Sucursal","Persona","Bja","No","No","Atipico"
"No_sospechoso",6218.87087918137,15,6,1,78.7928053454237,12482.7417583627,"Sucursal","Empresa","Baja","No","No","Atipico"
"No sospechoso",1360.55925650419,15,6,1,NA,2766.11851300837,"Sucursal","Persona","Alta","No","No","Normal"
"No_sospechoso",8571.65954323304,12,8,1,63.5375540345903,17179.3190864661,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",3839.77585535629,14,8,1,49.8354833142119,7721.55171071258,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",2760.84718060052,16,5,1,73.2518181484049,5569.69436120105,"Sucursal","Empresa","Bja","No","No","Normal"
"No_sospechoso",2602.14851357604,13,6,1,52.1569356329824,5243.29702715208,"Sucursal","Empresa","Baja","No","No","Volatil"
"No_sospechoso",3451.18735606127,15,5,4,67.6642318132131,6947.37471212253,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",2320.20487938931,14,5,5,56.1969242378416,4682.40975877861,"Online","Persona","Baja","No","No","Volatil"
"No_sospechoso",2538.25592961183,15,10,2,43.8793995775983,5121.51185922366,"Online","Persona","Bja","No","No","Volatil"
"No_sospechoso",1345.76973081843,13,7,1,68.1367622244412,2730.53946163687,"Sucursal","Persona","Bja","No","No","Atipico"
"No_sospechoso",3170.64038700293,14,8,2,65.6159344978518,6383.28077400587,"Sucursal","Empresa","Bja","No","No","Normal"
"No_sospechoso",2136.91954053293,16,10,3,39.1771994375047,4321.83908106587,"Online","Persona","Bja","No","No","Atipico"
"No_sospechoso",1872.9392993034,14,7,4,55.6114981589174,3787.8785986068,"Sucursal","Persona","Baja","No","No","Volatil"
"No_sospechoso",2437.79295931573,19,7,2,54.1066804629999,4932.58591863146,"Internacional","Persona","Baja","No","No","Normal"
"No_sospechoso",5634.39633566628,14,3,0,27.4677851205094,11310.7926713326,"Internacional","Persona","Baja","No","No","Atipico"
"No_sospechoso",2538.61563996554,15,6,2,51.0208813922783,5122.23127993108,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",8907.07154484961,17,7,2,26.7534554204015,17865.1430896992,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",12016.1929485148,18,8,1,53.8580474953338,24086.3858970296,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",1540.31534699749,15,6,2,66.3957672787495,3125.63069399499,"Online","Persona","Baja","No","No","Volatil"
"No_sospechoso",2655.27922727956,18,6,1,62.5550465464028,5364.55845455911,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",3456.63604580511,15,4,4,73.8719663797254,6958.27209161023,"Sucursal","Persona","Alta","No","No","Atipico"
"No_sospechoso",2430.59111645817,14,6,3,85.8237257219423,4903.18223291633,"Sucursal","Persona","Bja","No","No","Normal"
"No sospechoso",7676.5971763843,17,11,0,NA,15404.1943527686,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",3963.56242715625,16,9,0,NA,7975.12485431249,"Sucursal","Persona","Baja","Si","No","Normal"
"No_sospechoso",2308.0939676853,12,7,3,40.6826127405186,4652.1879353706,"Sucursal","Empresa","Bja","No","No","Normal"
"No_sospechoso",2747.272696167,15,7,2,69.9004477913448,5539.545392334,"Online","Persona","Bja","No","No","Atipico"
"No_sospechoso",2003.24266767696,14,8,4,43.7119618463077,4048.48533535393,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",2792.72306323966,16,9,2,63.431501763198,5633.44612647931,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",6631.35097671202,18,8,1,52.0801658875757,13316.701953424,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",2153.21245081451,12,9,1,54.5517878137227,4342.42490162903,"Internacional","Empresa","Bja","No","No","Normal"
"No sospechoso",5110.29069275892,16,7,4,NA,10268.5813855178,"Sucursal","Persona","Baja","No","No","Atipico"
"No sospechoso",3166.47778484072,10,10,1,NA,6362.95556968145,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",1472.67745127717,14,7,1,63.1775071894632,2987.35490255434,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",2363.9174914361,15,7,0,74.8403135346212,4772.83498287219,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",1460.74540988266,14,9,1,66.1220520075897,2963.49081976531,"Online","Persona","Alta","No","No","Normal"
"No_sospechoso",10291.0754623839,17,6,2,48.2686329134665,20633.1509247679,"Internacional","Empresa","Alta","No","No","Atipico"
"No_sospechoso",4177.68044010429,17,12,0,35.6292119274608,8406.36088020857,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",3939.12582120497,16,6,1,35.1891484088521,7926.25164240993,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",3669.99759345663,15,6,2,NA,7384.99518691326,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",4160.63310328252,15,6,3,22.5397065094454,8366.26620656504,"Sucursal","Persona","Bja","No","No","Atipico"
"No_sospechoso",3101.58280656739,15,4,2,60.2325338912225,6248.16561313478,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",2931.70611688962,16,7,2,61.7101495969597,5911.41223377924,NA,"Persona","Bja","No","No","Normal"
"No_sospechoso",2236.85276382218,14,9,3,56.9262544424242,4515.70552764437,"Sucursal","Persona","Baja","No","No","Volatil"
"No_sospechoso",3300.45790100482,17,8,0,51.9387279389274,6651.91580200964,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",3440.79967826089,13,9,1,64.5458671651072,6920.59935652178,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",2147.9217191955,14,8,4,59.1508086304541,4337.84343839099,"Sucursal","Persona","Bja","No","No","Atipico"
"No_sospechoso",3943.01380156005,15,8,0,69.7453779766779,7931.02760312011,"Online","Persona","Baja","No","No","Atipico"
"No_sospechoso",1753.27118153374,15,5,2,34.3524882562285,3551.54236306749,"Online","Persona","Bja","No","No","Atipico"
"No_sospechoso",4162.51619674915,16,4,1,48.2183912584656,8373.0323934983,"Sucursal","Persona","Bja","No","No","Volatil"
"No sospechoso",3511.66994974891,16,5,1,NA,7071.33989949782,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",5999.1996218789,17,7,2,58.6790060721612,12049.3992437578,"Online","Empresa","Baja","No","No","Normal"
"No_sospechoso",3652.19863123092,15,6,1,49.0313598901002,7349.39726246183,NA,"Persona","Baja","No","No","Normal"
"No_sospechoso",4877.62196331344,13,8,0,62.1648057983668,9794.24392662688,"Online","Persona","Bja","No","No","Atipico"
"No_sospechoso",8040.10409470855,15,7,0,35.5242799684568,16125.2081894171,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",4356.09316740017,16,6,1,41.9530871914723,8760.18633480034,"Online","Persona","Alta","No","No","Normal"
"No_sospechoso",5856.17656814249,17,9,0,49.8605724215426,11763.353136285,NA,"Empresa","Bja","No","No","Atipico"
"No_sospechoso",3018.19071918157,12,4,3,61.4606484834166,6072.38143836315,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",2701.77041224723,15,9,2,52.9933268304767,5448.54082449446,"Online","Empresa","Baja","No","No","Normal"
"No_sospechoso",3109.50988880132,17,9,2,58.3925779311461,6270.01977760264,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",2180.56541914493,14,6,3,39.8839723891652,4403.13083828986,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",4010.96562282656,16,3,1,57.0736974690038,8069.93124565312,"Internacional","Persona","Bja","No","No","Atipico"
"No_sospechoso",4180.64214323175,14,6,2,47.8652122077385,8403.28428646349,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",2100.12563941569,16,3,2,56.7485074404811,4248.25127883138,"Online","Persona","Bja","No","No","Volatil"
"No_sospechoso",3536.64777595199,13,7,0,46.9121899769078,7112.29555190398,"Sucursal","Empresa","Baja","No","No","Normal"
"No_sospechoso",4533.01885460288,14,6,1,58.3224204496806,9108.03770920577,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",2632.99130506159,15,11,4,43.7132304026225,5310.98261012317,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",2044.92972320581,15,9,2,62.2970752856279,4134.85944641162,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",3872.57290087783,13,6,3,63.5461711078787,7784.14580175566,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",1725.57665922562,16,7,1,62.9962965460887,3499.15331845125,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",7198.46534923,14,9,4,68.3874033078099,14438.93069846,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",3397.04669018723,16,7,1,78.0840943252508,6842.09338037446,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",2082.07551946393,18,6,2,54.8670456518758,4218.15103892786,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",2838.17236535396,19,5,3,79.5612377722612,5733.34473070791,"Online","Empresa","Baja","No","No","Normal"
"No_sospechoso",5471.32730868429,14,8,0,49.5779951887855,10984.6546173686,"Sucursal","Empresa","Baja","No","No","Normal"
"No_sospechoso",3099.88958294479,16,6,0,69.4464061442921,6247.77916588958,NA,"Empresa","Baja","No","No","Normal"
"No_sospechoso",3453.49335793338,14,4,2,58.7776739126633,6948.98671586676,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",5071.96284449171,17,6,1,65.3713530851501,10194.9256889834,NA,"Empresa","Baja","No","No","Atipico"
"No_sospechoso",6079.88699153202,16,8,1,40.8690845253218,12207.773983064,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",2905.76973507693,13,6,3,46.4624855123647,5850.53947015386,"Internacional","Persona","Baja","No","No","Normal"
"No_sospechoso",4838.99584581101,13,3,3,55.4766264611711,9716.99169162203,"Online","Persona","Baja","No","No","Atipico"
"No_sospechoso",3562.9823930658,16,6,1,60.316397875483,7173.96478613159,"Internacional","Persona","Bja","No","No","Normal"
